file,speaker,debate,sentence_id,text,char_len,word_len,clean_text,clean_word_len,tokens,tokens_no_stop,stemmed_tokens,lemma_tokens,processed_text,neg,neu,pos,compound,sentiment
clinton_1st.txt,Clinton,1,1,"How are you, Donald?",20,4,how are you donald,4,how are you donald,,,,,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,2,"Well, thank you, Lester, and thanks to Hofstra for hosting us.",62,11,well thank you lester and thanks to hofstra for hosting us,11,well thank you lester and thanks to hofstra for hosting us,thank thanks hofstra hosting,thank thank hofstra host,thank thanks hofstra host,thank thanks hofstra host,0.0,0.516,0.484,0.7579,positive
clinton_1st.txt,Clinton,1,3,The central question in this election is really what kind of country we want to be and what kind of future we'll build together.,128,24,the central question in this election is really what kind of country we want to be and what kind of future we will build together,25,the central question in this election is really what kind of country we want to be and what kind of future we will build together,central question election really kind country want kind future build together,central question elect realli kind countri want kind futur build togeth,central question election really kind country want kind future build together,central question election really kind country want kind future build together,0.0,0.947,0.053,0.0772,positive
clinton_1st.txt,Clinton,1,4,"Today is my granddaughter's second birthday, so I think about this a lot.",73,13,today is my granddaughter is second birthday so i think about this a lot,14,today is my granddaughter is second birthday so i think about this a lot,today granddaughter second birthday lot,today granddaught second birthday lot,today granddaughter second birthday lot,today granddaughter second birthday lot,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,5,"First, we have to build an economy that works for everyone, not just those at the top.",86,17,first we have to build an economy that works for everyone not just those at the top,17,first we have to build an economy that works for everyone not just those at the top,first build economy works everyone top,first build economi work everyon top,first build economy work everyone top,first build economy work everyone top,0.0,0.899,0.101,0.2023,positive
clinton_1st.txt,Clinton,1,6,"That means we need new jobs, good jobs, with rising incomes.",60,11,that means we need new jobs good jobs with rising incomes,11,that means we need new jobs good jobs with rising incomes,means need new jobs good jobs rising incomes,mean need new job good job rise incom,mean need new job good job rise income,mean need new job good job rise income,0.0,0.775,0.225,0.4404,positive
clinton_1st.txt,Clinton,1,7,I want us to invest in you.,27,7,i want us to invest in you,7,i want us to invest in you,want invest,want invest,want invest,want invest,0.0,0.794,0.206,0.0772,positive
clinton_1st.txt,Clinton,1,8,I want us to invest in your future.,35,8,i want us to invest in your future,8,i want us to invest in your future,want invest future,want invest futur,want invest future,want invest future,0.0,0.822,0.178,0.0772,positive
clinton_1st.txt,Clinton,1,9,"That means jobs in infrastructure, in advanced manufacturing, innovation and technology, clean, renewable energy, and small business, because most of the new jobs will come from small business.",193,28,that means jobs in infrastructure in advanced manufacturing innovation and technology clean renewable energy and small business because most of the new jobs will come from small business,28,that means jobs in infrastructure in advanced manufacturing innovation and technology clean renewable energy and small business because most of the new jobs will come from small business,means jobs infrastructure advanced manufacturing innovation technology clean renewable energy small business new jobs come small business,mean job infrastructur advanc manufactur innov technolog clean renew energi small busi new job come small busi,mean job infrastructure advance manufacture innovation technology clean renewable energy small business new job come small business,mean job infrastructure advance manufacture innovation technology clean renewable energy small business new job come small business,0.0,0.719,0.281,0.8126,positive
clinton_1st.txt,Clinton,1,10,We also have to make the economy fairer.,40,8,we also have to make the economy fairer,8,we also have to make the economy fairer,make economy fairer,make economi fairer,make economy fairer,make economy fairer,0.0,1.0,0.0,0.0,neutral
clinton_1st.txt,Clinton,1,11,"That starts with raising the national minimum wage and also guarantee, finally, equal pay for women's work.",107,17,that starts with raising the national minimum wage and also guarantee finally equal pay for women is work,18,that starts with raising the national minimum wage and also guarantee finally equal pay for women is work,starts raising national minimum wage guarantee finally equal pay women work,start rais nation minimum wage guarante final equal pay women work,start raise national minimum wage guarantee finally equal pay woman work,start raise national minimum wage guarantee finally equal pay woman work,0.076,0.815,0.109,0.1531,positive
clinton_1st.txt,Clinton,1,12,I also want to see more companies do profit-sharing.,52,9,i also want to see more companies do profit sharing,10,i also want to see more companies do profit sharing,want see companies profit sharing,want see compani profit share,want see company profit share,want see company profit share,0.0,0.843,0.157,0.0772,positive
clinton_1st.txt,Clinton,1,13,"If you help create the profits, you should be able to share in them, not just the executives at the top.",104,21,if you help create the profits you should be able to share in them not just the executives at the top,21,if you help create the profits you should be able to share in them not just the executives at the top,help create profits able share executives top,help creat profit abl share execut top,help create profit able share executive top,help create profit able share executive top,0.0,0.578,0.422,0.8658,positive
clinton_1st.txt,Clinton,1,14,And I want us to do more to support people who are struggling to balance family and work.,89,18,and i want us to do more to support people who are struggling to balance family and work,18,and i want us to do more to support people who are struggling to balance family and work,want support people struggling balance family work,want support peopl struggl balanc famili work,want support people struggle balance family work,want support people struggle balance family work,0.133,0.664,0.203,0.1226,positive
clinton_1st.txt,Clinton,1,15,I've heard from so many of you about the difficult choices you face and the stresses that you're under.,103,19,i have heard from so many of you about the difficult choices you face and the stresses that you are under,21,i have heard from so many of you about the difficult choices you face and the stresses that you are under,heard many difficult choices face stresses,heard mani difficult choic face stress,heard many difficult choice face stress,heard many difficult choice face stress,0.244,0.756,0.0,-0.6705,negative
clinton_1st.txt,Clinton,1,16,"So let's have paid family leave, earned sick days.",50,9,so let is have paid family leave earned sick days,10,so let is have paid family leave earned sick days,let paid family leave earned sick days,let paid famili leav earn sick day,let pay family leave earn sick day,let pay family leave earn sick day,0.391,0.609,0.0,-0.5423,negative
clinton_1st.txt,Clinton,1,17,Let's be sure we have affordable child care and debt-free college.,66,11,let is be sure we have affordable child care and debt free college,13,let is be sure we have affordable child care and debt free college,let sure affordable child care debt free college,let sure afford child care debt free colleg,let sure affordable child care debt free college,let sure affordable child care debt free college,0.0,0.621,0.379,0.6705,positive
clinton_1st.txt,Clinton,1,18,How are we going to do it?,26,7,how are we going to do it,7,how are we going to do it,,,,,0.0,1.0,0.0,0.0,neutral
